지역코드,지역명,데이터 수집 시간,실시간 인구 수준,실시간 인구 메시지,인구 최소값,인구 최대값,남성 비율,여성 비율,0-9세 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,70대 이상 비율,거주인구 비율,비거주인구 비율
POI032,서울식물원·마곡나루역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,10000,12000,54.5,45.5,2.3,4.0,18.8,26.1,20.5,15.4,8.6,4.2,48.1,51.9
POI033,서울역,2024-12-24 14:35,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,48.1,51.9,0.0,0.6,17.3,29.9,24.8,15.8,7.6,4.0,41.2,58.8
POI034,선릉역,2024-12-24 14:35,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,50000,52000,50.2,49.8,0.1,4.6,18.2,26.2,22.7,13.9,8.7,5.6,35.7,64.3
POI035,성신여대입구역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,40.2,59.8,0.4,9.7,30.1,15.2,11.8,13.3,10.2,9.4,16.9,83.1
POI036,수유역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,45.2,54.8,0.0,5.9,20.8,15.6,17.1,16.6,13.1,11.1,29.2,70.8
POI037,신논현역·논현역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,46.8,53.2,0.1,3.7,24.8,27.5,20.8,12.3,6.3,4.5,30.8,69.2
POI038,신도림역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,12000,14000,43.3,56.7,2.2,5.6,16.6,18.2,17.9,17.3,13.7,8.6,48.0,52.0
POI039,신림역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,10000,50.6,49.4,0.0,4.9,32.7,18.8,15.5,12.1,8.2,7.8,20.0,80.0
POI040,신촌·이대역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,30000,32000,42.6,57.4,0.9,6.9,35.8,16.8,12.7,12.6,8.5,5.9,34.8,65.2
POI041,양재역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,51.1,48.9,1.4,5.3,16.5,22.8,21.1,16.3,9.6,7.1,49.4,50.6
POI042,역삼역,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,30000,32000,54.6,45.4,0.1,1.2,23.2,33.1,23.1,11.3,5.1,2.9,40.8,59.2
POI043,연신내역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8000,8500,42.7,57.3,0.2,11.0,17.2,13.8,13.7,15.7,14.8,13.6,19.2,80.8
POI044,오목교역·목동운동장,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,52000,54000,44.0,56.0,5.6,13.4,13.3,13.3,18.6,16.0,11.6,8.1,52.9,47.1
POI045,왕십리역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,18000,48.0,52.0,2.9,8.6,22.0,13.9,14.5,15.7,12.6,9.9,49.6,50.4
POI046,용산역,2024-12-24 14:35,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,46.3,53.7,0.2,5.1,30.0,22.8,18.4,12.5,6.7,4.3,12.8,87.2
POI047,이태원역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,50.9,49.1,0.1,3.1,30.3,26.3,14.6,12.3,7.3,6.0,19.9,80.1
POI048,장지역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,22000,51.1,48.9,2.1,5.2,14.4,21.1,21.5,18.0,11.8,5.8,49.2,50.8
POI049,장한평역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,55.0,45.0,2.5,2.8,14.2,17.2,19.4,19.6,15.1,9.1,55.9,44.1
POI050,천호역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7500,8000,40.6,59.4,0.1,3.8,20.1,19.3,16.5,15.3,13.8,11.1,13.0,87.0
POI051,총신대입구(이수)역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,44.7,55.3,3.6,6.7,15.2,15.7,15.0,15.8,14.6,13.4,48.8,51.2
POI052,충정로역,2024-12-24 14:35,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,16000,18000,48.0,52.0,0.1,2.4,16.8,29.7,24.5,15.8,7.5,3.4,46.3,53.7
POI053,합정역,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,45.6,54.4,2.6,5.8,23.2,20.5,16.2,13.9,9.9,8.0,55.9,44.1
POI054,혜화역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,41.9,58.1,0.1,13.5,37.5,17.3,12.1,10.4,5.3,3.8,16.5,83.5
POI055,홍대입구역(2호선),2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,42.2,57.8,0.7,11.1,35.8,19.3,13.3,9.7,6.0,4.0,34.5,65.5
POI056,회기역,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,45.1,54.9,0.4,9.3,40.7,12.5,10.5,10.7,8.5,7.4,25.3,74.7
POI057,4·19 카페거리,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,42.6,57.4,0.4,4.3,8.9,14.0,18.6,19.4,16.4,17.9,28.7,71.3
POI058,가락시장,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7500,8000,49.5,50.5,0.6,4.1,10.8,17.6,18.4,20.2,17.2,11.1,28.7,71.3
POI059,가로수길,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,26000,28000,42.4,57.6,0.1,6.4,27.1,24.9,19.3,11.3,6.5,4.4,31.3,68.7
POI060,광장(전통)시장,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,6000,54.0,46.0,0.4,2.1,12.4,13.1,17.2,21.1,19.1,14.6,41.3,58.7
POI061,김포공항,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,43.9,56.1,0.2,6.3,24.1,22.8,19.1,13.2,8.8,5.7,16.6,83.4
POI062,낙산공원·이화마을,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,52.3,47.7,0.0,7.6,19.5,12.4,13.8,21.7,10.9,14.1,41.3,58.7
POI063,노량진,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,20000,22000,52.8,47.2,1.4,4.5,30.4,18.4,13.1,13.5,10.2,8.5,46.0,54.0
POI064,덕수궁길·정동길,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,5500,6000,45.1,54.9,0.4,9.8,16.1,21.0,21.0,17.8,8.8,5.1,40.8,59.2
POI065,방배역 먹자골목,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,1000,43.3,56.7,0.2,8.0,23.0,21.8,15.3,13.5,8.6,9.5,23.9,76.1
POI066,북촌한옥마을,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,51.8,48.2,0.3,8.6,19.3,21.2,20.2,15.5,8.8,6.0,42.3,57.7
POI067,서촌,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,46.1,53.9,1.6,8.5,18.4,17.3,17.3,16.2,10.9,10.0,59.3,40.7
POI068,성수카페거리,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,36000,38000,47.9,52.1,0.5,8.1,31.1,22.6,15.8,12.1,6.6,3.2,37.9,62.1
POI069,수유리 먹자골목,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,47.1,52.9,0.1,5.4,15.8,14.1,16.6,18.3,15.3,14.4,32.3,67.7
POI070,쌍문동 맛집거리,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,45.1,54.9,0.2,6.6,16.9,13.8,15.5,17.9,14.4,14.8,26.7,73.3
POI071,압구정로데오거리,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,40.5,59.5,0.2,4.3,29.7,28.5,19.6,9.9,4.8,2.9,30.2,69.8
POI072,여의도,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,160000,165000,54.0,46.0,0.6,2.8,19.5,27.6,23.9,15.7,6.5,3.5,55.1,44.9
POI073,연남동,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,43.5,56.5,0.5,9.9,33.0,20.1,14.0,10.0,6.7,5.7,37.3,62.7
POI074,영등포 타임스퀘어,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,22000,40.0,60.0,0.1,4.9,24.8,22.2,16.4,13.6,9.5,8.4,16.4,83.6
POI075,외대앞,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,49.0,51.0,0.3,5.4,35.2,11.9,12.3,14.6,11.1,9.2,24.4,75.6
POI076,용리단길,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,6000,6500,56.1,43.9,1.1,3.4,21.0,23.7,22.7,15.8,7.8,4.4,53.1,46.9
POI077,이태원 앤틱가구거리,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,50.1,49.9,1.2,4.3,20.9,19.8,15.9,16.0,12.0,9.9,48.3,51.7
POI078,인사동,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,51.8,48.2,0.1,3.0,18.5,23.7,20.9,16.4,9.9,7.7,35.3,64.7
POI079,창동 신경제 중심지,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,64000,66000,43.2,56.8,3.2,11.5,14.5,13.2,16.1,16.6,13.9,11.0,46.3,53.7
POI080,청담동 명품거리,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,8000,8500,40.5,59.5,0.5,4.7,26.6,27.4,21.2,11.7,5.2,2.7,30.5,69.5
POI081,청량리 제기동 일대 전통시장,2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,49.0,51.0,1.5,3.8,11.2,11.0,13.3,17.9,19.7,21.6,40.5,59.5
POI082,해방촌·경리단길,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,48.6,51.4,0.1,7.4,23.8,19.8,17.5,13.3,9.0,9.1,27.1,72.9
POI083,DDP(동대문디자인플라자),2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,5000,5500,44.0,56.0,0.1,8.1,22.2,20.2,17.3,14.0,11.1,7.0,19.8,80.2
POI084,DMC(디지털미디어시티),2024-12-24 14:35,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,49.7,50.3,1.3,5.0,19.3,26.6,22.5,14.1,6.9,4.4,57.9,42.1
POI085,강서한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,0,100,61.7,38.3,0.1,3.5,10.6,20.4,20.9,18.0,17.7,8.8,3.2,96.8
POI086,고척돔,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,800,53.6,46.4,1.3,6.6,18.2,19.0,15.6,13.6,15.6,10.1,9.2,90.8
POI087,광나루한강공원,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,4000,4500,47.4,52.6,0.1,3.6,13.8,19.7,21.2,20.0,13.7,7.9,23.6,76.4
POI088,광화문광장,2024-12-24 14:35,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,7000,7500,47.5,52.5,0.1,4.6,22.2,24.8,23.0,15.0,6.8,3.6,13.9,86.1
POI089,국립중앙박물관·용산가족공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,45.1,54.9,3.3,7.3,18.4,18.5,18.4,16.3,10.4,7.5,28.8,71.2
POI090,난지한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,62.4,37.6,0.8,1.9,11.5,18.5,25.7,18.9,14.6,8.0,6.0,94.0
POI091,남산공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,49.6,50.4,0.5,4.0,20.3,18.8,19.2,19.1,11.4,6.7,35.3,64.7
POI092,노들섬,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,1000,51.7,48.3,2.2,5.6,17.1,17.6,18.3,16.4,13.2,9.6,27.9,72.1
POI093,뚝섬한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,49.0,51.0,0.2,5.3,18.2,18.1,20.3,14.5,14.0,9.5,12.8,87.2
POI094,망원한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,54.1,45.9,1.5,3.9,14.6,19.4,19.1,16.7,13.5,11.3,42.4,57.6
POI095,반포한강공원,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,54.2,45.8,0.6,3.4,13.7,20.4,21.2,18.6,15.9,6.2,3.2,96.8
POI096,북서울꿈의숲,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,44.6,55.4,0.6,7.2,9.5,13.9,15.8,18.0,16.0,19.1,31.9,68.1
POI097,불광천,2024-12-24 14:35,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,46000,48000,47.4,52.6,6.0,9.3,12.1,11.8,14.4,15.5,15.3,15.6,68.9,31.1
