ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO23N000012,행사,행사,2014 안양시민축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24235,다사521324,126.9613287,37.390137,평촌중앙공원+삼덕공원,2014-09-26,2014-09-28,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송+ 거리공연 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000013,행사,행사,2017 안양충훈벚꽃축제,경기도,안양시,4117110200,석수동,4117161100,충훈동,411713182011,경기도 안양시 만안구 석수로 159,24264,다사465341,126.896157,37.404615,안양충훈2교일대,2017-04-07,2017-04-09,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000014,행사,행사,2017 안양 아줌마축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24239,다사521324,126.9613287,37.390137,평촌중앙공원,2017-05-27,2017-05-28,아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000015,행사,행사,2017 광복기념음악회,경기도,안양시,4117110100,안양동,4117158000,안양8동,411714346076,경기도 안양시 만안구 문예로 36번길 16,24302,다사496319,126.931365,37.384588,안양아트센터 관악홀,2017-08-15,2017-08-15,안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),(재)안양문화예술재단,(재)안양문화예술재단,경기도 안양시+ 티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000016,행사,행사,2017 안양 시민축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24264,다사521324,126.9613287,37.390137,평촌중앙공원+병목안시민공원+범계로데오,2017-09-15,2017-09-17,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000017,행사,행사,2018 안양충훈벚꽃축제,경기도,안양시,4117110200,석수동,4117161100,충훈동,411713182011,경기도 안양시 만안구 석수로 159,24420,다사465341,126.896157,37.404615,안양충훈2교일대,2018-04-07,2018-04-15,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000018,행사,행사,2018 안양여성축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24441,다사521324,126.9613287,37.390137,평촌중앙공원,2018-05-12,2018-05-13,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000019,행사,행사,2018 광복기념음악회,경기도,안양시,4117110100,안양동,4117158100,안양9동,411713182007,경기도 안양시 만안구 병목안로 215,24336,다사477318,126.907675,37.385289,병목안시민공원,2018-08-15,2018-08-15,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,경기도 안양시+ 티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000020,행사,행사,2018 안양 시민축제,경기도,안양시,4117310300,평촌동,4117357600,평안동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),24461,다사521324,126.9613287,37.390137,평촌중앙공원+병목안시민공원+범계로데오,2018-09-14,2018-09-16,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,2024-04-08,3830000,경기도 안양시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000021,행사,행사,마곡사 신록축제,충청남도,공주시,4415039029,사곡면 운암리,4415039000,사곡면,441503251011,충청남도 공주시 사곡면 마곡사로 966 마곡사,24264,다바563402,127.011603,36.55740589,사곡면 운암리 마곡사일원,2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,마곡사신록축제추진위원회,공주시,,041-840-2056,,,2022-11-21,4500000,충청남도 공주시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000022,행사,행사,제68회 백제문화제,충청남도,공주시,4415012000,신관동,4415057000,신관동,441503251008,충청남도 공주시 신관동 553,24264,다바669299,127.1204236,36.47835102,금강신관공원,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,백제문화선양위원회,백제문화제추진위원회,,041-840-8112,https://www.baekje.org/kor/,,2022-11-21,4500000,충청남도 공주시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000023,행사,행사,제5회 겨울공주 군밤축제,,,4415011000,금학동,4415055000,금학동,,충청남도 공주시 금학동 111-1,24264,다바663262,127.124038,36.43336915,온라인,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,겨울공주 군밤축제추진위원회,공주시,,041-840-2056,,,2022-11-21,4500000,충청남도 공주시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000024,행사,행사,제1회 유구색동수국정원 꽃축제,,,,,,,,,,,126.9543952,36.5555033,유구색동수국정원,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,공주시,공주시,,041-840-8111,,,2022-11-21,4500000,충청남도 공주시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000025,행사,행사,보이지 않아도 보이는,강원특별자치도,춘천시,5111012500,삼천동,5111067500,강남동,421104454446,강원도 춘천시 스포츠타운길399번길 25 어린이회관,24239,라사178860,127.702455,37.874066,KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실,2022-07-13,2022-07-17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.",공공미터협동조합,강원문화재단+공공미터협동조합,강원문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,전시관람,2023-01-12,4180000,강원도 춘천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000026,행사,행사,Creative energy_김정현 개인展,강원특별자치도,춘천시,5111010700,옥천동,5111058000,소양동,421103218018,강원도 춘천시 서부대성로 71,24271,라사203870,127.73132,37.88237413,춘천미술관,2022-07-01,2022-07-06,김정현 개인전,김정현,김정현,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,전시관람,2023-01-12,4180000,강원도 춘천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000027,행사,행사,2022년 강원PAX아라리 제 3회 정기연주회,강원특별자치도,춘천시,5111012400,석사동,5111065000,석사동,421103218031,강원도 춘천시 우석로 70 국립춘천박물관,24455,라사221848,127.7521907,37.86401877,국립춘천박물관 중앙홀,2022-06-29,2022-06-29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.",강원팍스아라리,강원팍스아라리,,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,공연,2023-01-12,4180000,강원도 춘천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000028,행사,행사,제4회 대청호 벚꽃축제,,,,,,,,,,,127.4980431,36.35359044,신상동 벚꽃한터 일원,2022-04-08,2022-04-10,벚꽃 아트길+온라인 공연+경연대회,대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,2023-11-07,3640000,대전광역시 동구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000029,행사,행사,제5회 대청호 벚꽃축제,,,,,,,,,,,127.4980431,36.35359044,신상동 벚꽃한터 일원,2023-04-07,2023-04-09,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,2023-11-07,3640000,대전광역시 동구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000030,행사,행사,동두천 청소년 별자리과학 축제,경기도,동두천시,4125010300,생연동,4125056500,불현동,412503189020,경기도 동두천시 어등로 45,24341,다사621889,127.0704987,37.90083977,종합운동장,2023-10-21,2023-10-21,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,(사)어수회,경기도청+경기도 동두천시청,경기도 동두천시의회+경기문화재단+동두천양주교육지원청 등,031-860-2857,http://www.ddc.go.kr,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000031,행사,행사,동두천락페스티벌,,,,,,,,,,,127.0857429,37.93877612,소요산 주차장 야외특설무대,2023-08-25,2023-08-26,전국락밴드경연 및 락 뮤지션 초청공연,동두천 락페스티벌 조직위원회,경기도 동두천시청 락페스티벌 조직위원회,문화체육관광부+경기도청+경기도 동두천시청,031-860-2105,https://www.ddc.go.kr/tour/contents.do?key=269,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000032,행사,행사,2023 제7회 이담농악두드림대축제,경기도,동두천시,4125010300,생연동,4125053500,중앙동,412503189031,경기도 동두천시 중앙로 268,24336,다사608896,127.0546796,37.90543939,동두천 시민회관 공연장,2023-07-22,2023-07-22,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,이담농악보존회,이담농악보존회,경기도 동두천시청,031-860-3331,http://www.ddc.go.kr,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000033,행사,행사,제4회 동두천 국제 트레일러닝 대회,경기도,동두천시,4125010300,생연동,4125056500,불현동,412503189020,경기도 동두천시 어등로 45,24355,다사621889,127.0704987,37.90083977,종합운동장,2023-04-29,2023-04-29,천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회,럭엑스런,럭엑스런,경기도 동두천시청+문화체육관광부,031-860-2209,http://www.korea50k.com,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000034,행사,행사,상패남산축제,경기도,동두천시,4125011200,상패동,4125060000,상패동,412503189021,경기도 동두천시 어수로 8,24373,다사599895,127.0442776,37.90537169,상패동 행정복지센터 주차장,2023-09-09,2023-09-09,공연+체험+먹거리장터 등,상패동주민자치위원회,경기도청+경기도 동두천시청+상패동행정복지주민센터,,031-860-3172,http://www.ddc.go.kr,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000035,행사,행사,동두천시 자원봉사 축제,경기도,동두천시,4125010200,지행동,4125056600,송내동,412503189031,경기도 동두천시 중앙로 125,24336,다사605881,127.0517461,37.89275541,시민평화근린공원 일원,2023-10-14,2023-10-14,자원봉사자와 시민·청소년 모두가 하나되는 나눔의 장,(사)동두천시자원봉사센터,경기도 동두천시청,경기도 동두천시의회 등,031-860-2089,http://www.ddc.go.kr,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000036,행사,행사,DDC할로윈클럽데이,경기도,동두천시,4125010600,보산동,4125055000,보산동,412504367075,경기도 동두천시 상패로216번길 42,24428,다사610907,127.0565068,37.91584622,보산동 한미우호광장,2018-10-27,2018-10-28,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,경기관광공사+경기도미술관,경기도청+경기도 동두천시청,경기도 동두천시의회 등,031-860-2627,http://www.ddc.go.kr,,2024-03-06,3920000,경기도 동두천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000037,행사,행사,제5회 연제고분판타지축제,,,,,,,,,,,129.082826,35.19588064,온천천시민공원 및 연산동 고분군,2024-03-22,2024-03-24,역사문화행사,연제구축제추진위원회,부산광역시 연제구,,051-665-4064,,,2024-03-07,3370000,부산광역시 연제구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000038,행사,행사,(가칭)오산 산타 마켓,경기도,오산시,4137010300,원동,4137052300,대원1동,413704394131,경기도 오산시 원동로37번길 37-1,25517,다사618052,127.070236,37.145359,오산역광장+원동구도심상가,2024-11-23,2024-12-25,마켓운영+경관조명,경기도 오산시청 문화예술과,경기도 오산시청 문화예술과,,031-8036-7608,https://www.osan.go.kr/main.do,,2024-03-04,4000000,경기도 오산시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000039,행사,행사,여주도자기축제,경기도,여주시,4167012000,천송동,4167053000,오학동,416704442277,경기도 여주시 신륵사길 7,24239,라사139224,,,여주 신륵사관광지 일원,2024-05-03,2024-05-12,"여주 도자기 전시 및 판매, 공연 등",여주세종문화관광재단,경기도 여주시청,,031-881-9693,www.yjcf.or.kr,신륵사 명성황후생가 영릉 황학산수목원 등,2024-03-01,5700000,경기도 여주시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000040,행사,행사,크랩킹페스타,,,,,,,,,,,129.157962,37.47834714,추암해변,2024-04-11,2024-04-14,"개막식, 먹거리장터, 공연행사,크랩뜰낚시체험, 크랩맨손잡기",동해문화관광재단,강원특별자치도 동해시청,강원특별자치도 동해시청,033-530-2111,,,2024-03-05,4211000,강원특별자치도 동해시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000041,행사,행사,2024얼음나라 화천 산천어축제,강원특별자치도,화천군,5179025023,화천읍 중리,5179025000,화천읍,427904493062,강원특별자치도 화천군 화천읍 산천어길 137,24246,라아183125,127.7098432,38.11250161,화천천 일원,2024-01-06,2024-01-28,얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등,(재)나라,강원특별자치도 화천군청,,1688-3000,www.narafestival.com,,2024-03-05,4311000,강원특별자치도 화천군,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000042,행사,행사,2024 대구앞산축제(제29회 대덕제),대구광역시,남구,2720010200,봉덕동,2720055000,봉덕3동,272004232016,대구광역시 남구 고산4길 71,24412,라마993600,128.6004362,35.83229037,남구구민체육광장,2024-05-25,2024-05-26,앞산을 배경으로 다양한 체험프로그램과 문화예술 공연이 있는 주민화합 축제,대구광역시 남구,대구광역시 남구,대구광역시,053-664-3262,,,2024-03-05,3440000,대구광역시 남구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000043,행사,행사,영도다리축제,부산광역시,영도구,2620012100,동삼동,2620065000,동삼1동,262004184392,부산광역시 영도구 해양로 301번길 55,14259,마라442769,129.0820078,35.07714964,아미르공원+영도일원+영도다리축제유튜브채널,2024-10-12,2024-10-13,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,영도문화원,부산광역시 영도구청,부산광역시,051-419-4064,http://www.yeongdo.go.kr/ydfestival.web,,2024-03-04,3280000,부산광역시 영도구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000044,행사,행사,영도커피페스티벌,부산광역시,영도구,2620012100,동삼동,2620065000,동삼1동,262004184392,부산광역시 영도구 해양로 301번길 55,14320,마라442769,129.0820078,35.07714964,아미르공원,2024-05-24,2024-05-26,개막주제공연+축하공연+체험행사 등,부산광역시 영도구청,부산광역시 영도구청,부산광역시,051-419-6332,https://www.yeongdo.go.kr/yd_coffee_festival.web,,2024-03-04,3280000,부산광역시 영도구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000045,행사,행사,2023 과천공연예술축제,경기도,과천시,4129010700,중앙동,4129051000,중앙동,412903195051,경기도 과천시 통영로 5,14234,다사548366,126.9891538,37.42819137,과천시 일원,2023-09-22,2023-09-24,시민주도형 예술축제,과천문화재단,경기도 과천시청,농협은행㈜과천시지부,02-2009-9732,http://www.gcfest.or.kr,,2024-02-27,3970000,경기도 과천시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000046,행사,행사,2024고령 대가야축제,경상북도,고령군,4783025326,대가야읍 지산리,4783025300,대가야읍,478303320005,경상북도 고령군 대가야읍 대가야로 1216,14259,라마687474,128.259677,35.72008225,대가야박물관+대가야역사테마관광지+대가야문화누리+관내일원,2023-03-29,2023-03-31,"체험프로그램, 악성우륵추모제, 가야금 100대 공연, 야간특별프로그램, 불꽃쇼, 인기가수 공연 등",사)고령군 관광협의회,고령군,"문화체육관광부, 경상북도",054-950-6424,http://www.festdgy.com/,,2024-03-04,5200000,경상북도 고령군,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000047,행사,행사,2020 부평풍물대축제,인천광역시,부평구,2823710100,부평동,2823754000,부평4동,282373154039,인천광역시 부평구 신트리로 21,14295,다사314455,126.7236393,37.506554,신트리공원 등,2020-10-16,2020-10-18,다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,문화체육관광부+인천광역시,032-509-7516,https://portal.icbp.go.kr/bpf/,,2024-03-04,3540000,인천광역시 부평구,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
KC488PO23N000048,행사,행사,2023계룡軍문화축제,,,,,,,,,,,,,충남 계룡시일원(계룡대 활주로 및 시가지),2023-10-06,2023-10-10,"개막식,전시관, 체험, 공연·경연, 부대행사등",(재)계룡시문화관광재단,충청남도 계룡시,국방부 등,042-840-2623,http://m-festival.org/,군(軍)문화로 통(通)하는 YES 계룡,2023-08-28,5580000,충청남도 계룡시,20240531,문화체육관광부,KC_488_WNTY_CLTFSTVL_2023,20240530
